Entry	Gene names	Gene names  (synonym )	Protein names	Gene names  (primary )	Gene names  (ORF )	Gene names  (ordered locus )	Entry name	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs
J9VXX2	CNAG_03335		Ribose-phosphate diphosphokinase (EC 2.7.6.1)		CNAG_03335		J9VXX2_CRYNH	nucleoside metabolic process [GO:0009116]; nucleotide biosynthetic process [GO:0009165]; ribonucleoside monophosphate biosynthetic process [GO:0009156]		ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]; nucleoside metabolic process [GO:0009116]; nucleotide biosynthetic process [GO:0009165]; ribonucleoside monophosphate biosynthetic process [GO:0009156]	ATP binding [GO:0005524]; kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]	GO:0000287; GO:0004749; GO:0005524; GO:0009116; GO:0009156; GO:0009165; GO:0016301
J9VR78	CNAG_03559		Allantoate permease		CNAG_03559		J9VR78_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857
J9VNR9	CNAG_01075		Methylmalonate-semialdehyde dehydrogenase (CoA acylating) (EC 1.2.1.27)		CNAG_01075		J9VNR9_CRYNH			methylmalonate-semialdehyde dehydrogenase (acylating) activity [GO:0004491]	methylmalonate-semialdehyde dehydrogenase (acylating) activity [GO:0004491]	GO:0004491
J9W151	CNAG_06483		Zn(2)-C6 fungal-type domain-containing protein		CNAG_06483		J9W151_CRYNH			DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]	GO:0000981; GO:0008270
J9VT12	CNAG_03320		Mannose-1-phosphate guanylyltransferase		CNAG_03320		J9VT12_CRYNH	GDP-mannose biosynthetic process [GO:0009298]		nucleotidyltransferase activity [GO:0016779]; GDP-mannose biosynthetic process [GO:0009298]	nucleotidyltransferase activity [GO:0016779]	GO:0009298; GO:0016779
J9VLW2	CNAG_04084		Uncharacterized protein		CNAG_04084		J9VLW2_CRYNH					
J9VKA1	CNAG_06772		Nucleoporin SEH1		CNAG_06772		J9VKA1_CRYNH	mRNA transport [GO:0051028]; positive regulation of TORC1 signaling [GO:1904263]; protein transport [GO:0015031]	nuclear pore [GO:0005643]	nuclear pore [GO:0005643]; structural molecule activity [GO:0005198]; mRNA transport [GO:0051028]; positive regulation of TORC1 signaling [GO:1904263]; protein transport [GO:0015031]	structural molecule activity [GO:0005198]	GO:0005198; GO:0005643; GO:0015031; GO:0051028; GO:1904263
J9VX52	CNAG_04485		Long-chain acyl-CoA synthetase		CNAG_04485		J9VX52_CRYNH					
T2BNJ0	CNAG_06840		Elongation factor 2, variant		CNAG_06840		T2BNJ0_CRYNH			GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; translation elongation factor activity [GO:0003746]	GO:0003746; GO:0003924; GO:0005525
J9W053	CNAG_06115		Acid phosphatase		CNAG_06115		J9W053_CRYNH					
J9VPY4	CNAG_02374		Spindle pole body component		CNAG_02374		J9VPY4_CRYNH	microtubule nucleation [GO:0007020]	cytoplasm [GO:0005737]; microtubule [GO:0005874]; microtubule organizing center [GO:0005815]; spindle pole [GO:0000922]	cytoplasm [GO:0005737]; microtubule [GO:0005874]; microtubule organizing center [GO:0005815]; spindle pole [GO:0000922]; gamma-tubulin binding [GO:0043015]; microtubule nucleation [GO:0007020]	gamma-tubulin binding [GO:0043015]	GO:0000922; GO:0005737; GO:0005815; GO:0005874; GO:0007020; GO:0043015
J9VGC6	CNAG_03922		NmrA domain-containing protein		CNAG_03922		J9VGC6_CRYNH					
J9VV98	CNAG_01994		SET domain-containing protein		CNAG_01994		J9VV98_CRYNH					
J9VGY8	CNAG_00505		Zn(2)-C6 fungal-type domain-containing protein		CNAG_00505		J9VGY8_CRYNH			DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]	GO:0000981; GO:0008270
J9VN30	CNAG_02701		BAG domain-containing protein		CNAG_02701		J9VN30_CRYNH			chaperone binding [GO:0051087]	chaperone binding [GO:0051087]	GO:0051087
J9VK07	CNAG_01343		ATP-dependent Clp protease ATP-binding subunit ClpX		CNAG_01343		J9VK07_CRYNH			ATP binding [GO:0005524]; ATPase activity [GO:0016887]; peptidase activity [GO:0008233]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; peptidase activity [GO:0008233]	GO:0005524; GO:0008233; GO:0016887
J9W144	CNAG_01591		Vacuolar import and degradation protein 21		CNAG_01591		J9W144_CRYNH		nucleus [GO:0005634]	nucleus [GO:0005634]		GO:0005634
T2BMK7	CNAG_02510		Uncharacterized protein		CNAG_02510		T2BMK7_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VZE6	CNAG_04389		Uncharacterized protein		CNAG_04389		J9VZE6_CRYNH					
J9VET3	CNAG_00436		Palmitoyltransferase (EC 2.3.1.225)		CNAG_00436		J9VET3_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; protein-cysteine S-palmitoyltransferase activity [GO:0019706]	protein-cysteine S-palmitoyltransferase activity [GO:0019706]	GO:0016021; GO:0019706
J9W192	CNAG_01640		Uncharacterized protein		CNAG_01640		J9W192_CRYNH	fermentation [GO:0006113]	integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; fermentation [GO:0006113]		GO:0006113; GO:0016021
J9VMH1	CNAG_02137		Uncharacterized protein		CNAG_02137		J9VMH1_CRYNH	cytoplasmic microtubule organization [GO:0031122]; cytoskeleton-dependent intracellular transport [GO:0030705]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; microtubule binding [GO:0008017]; cytoplasmic microtubule organization [GO:0031122]; cytoskeleton-dependent intracellular transport [GO:0030705]	microtubule binding [GO:0008017]	GO:0005737; GO:0008017; GO:0030705; GO:0031122
J9W410	CNAG_05519		Restriction of telomere capping protein 4		CNAG_05519		J9W410_CRYNH		nucleus [GO:0005634]	nucleus [GO:0005634]		GO:0005634
J9VZP7	CNAG_01959		Condensin complex subunit 1		CNAG_01959		J9VZP7_CRYNH	cell division [GO:0051301]; mitotic chromosome condensation [GO:0007076]	chromosome [GO:0005694]; nucleus [GO:0005634]	chromosome [GO:0005694]; nucleus [GO:0005634]; cell division [GO:0051301]; mitotic chromosome condensation [GO:0007076]		GO:0005634; GO:0005694; GO:0007076; GO:0051301
J9W205	CNAG_01950		Uncharacterized protein		CNAG_01950		J9W205_CRYNH	rRNA processing [GO:0006364]; tRNA processing [GO:0008033]		rRNA processing [GO:0006364]; tRNA processing [GO:0008033]		GO:0006364; GO:0008033
J9VI20	CNAG_02849		Glutathione transferase		CNAG_02849		J9VI20_CRYNH			protein disulfide oxidoreductase activity [GO:0015035]; transferase activity [GO:0016740]	protein disulfide oxidoreductase activity [GO:0015035]; transferase activity [GO:0016740]	GO:0015035; GO:0016740
J9VRM1	CNAG_05733		Cytoplasmic protein		CNAG_05733		J9VRM1_CRYNH					
J9VPL5	CNAG_07681		MAGE domain-containing protein		CNAG_07681		J9VPL5_CRYNH					
J9VT35	CNAG_03356		Sld5 domain-containing protein		CNAG_03356		J9VT35_CRYNH	DNA-dependent DNA replication [GO:0006261]	nucleus [GO:0005634]	nucleus [GO:0005634]; DNA-dependent DNA replication [GO:0006261]		GO:0005634; GO:0006261
J9VTV8	CNAG_00987		Prefoldin subunit 3		CNAG_00987		J9VTV8_CRYNH	protein folding [GO:0006457]	prefoldin complex [GO:0016272]	prefoldin complex [GO:0016272]; protein folding [GO:0006457]		GO:0006457; GO:0016272
J9VSK6	CNAG_02216		E3 ubiquitin-protein ligase listerin (EC 2.3.2.27) (RING-type E3 ubiquitin transferase listerin)		CNAG_02216		J9VSK6_CRYNH	rescue of stalled ribosome [GO:0072344]; ribosome-associated ubiquitin-dependent protein catabolic process [GO:1990116]	cytosol [GO:0005829]; RQC complex [GO:1990112]	cytosol [GO:0005829]; RQC complex [GO:1990112]; ribosomal large subunit binding [GO:0043023]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]; rescue of stalled ribosome [GO:0072344]; ribosome-associated ubiquitin-dependent protein catabolic process [GO:1990116]	ribosomal large subunit binding [GO:0043023]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]	GO:0005829; GO:0008270; GO:0043023; GO:0061630; GO:0072344; GO:1990112; GO:1990116
J9VYS1	CNAG_06353		tRNA pseudouridine(38-40) synthase		CNAG_06353		J9VYS1_CRYNH	tRNA pseudouridine synthesis [GO:0031119]		pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; tRNA pseudouridine synthesis [GO:0031119]	pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]	GO:0003723; GO:0009982; GO:0031119
J9VMH7	CNAG_02882		Uncharacterized protein		CNAG_02882		J9VMH7_CRYNH					
J9VKM1	CNAG_01134		Uncharacterized protein		CNAG_01134		J9VKM1_CRYNH					
J9VX78	CNAG_05435		Uncharacterized protein		CNAG_05435		J9VX78_CRYNH					
J9VJY4	CNAG_02941		PARP-type domain-containing protein		CNAG_02941		J9VJY4_CRYNH		nucleus [GO:0005634]	nucleus [GO:0005634]; DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	GO:0003677; GO:0005634; GO:0008270
T2BNJ7	CNAG_01827		Uncharacterized protein		CNAG_01827		T2BNJ7_CRYNH	intracellular protein transport [GO:0006886]		RNA binding [GO:0003723]; intracellular protein transport [GO:0006886]	RNA binding [GO:0003723]	GO:0003723; GO:0006886
J9VQK3	CNAG_03312		Uncharacterized protein		CNAG_03312		J9VQK3_CRYNH					
J9VGI2	CNAG_07348		Phosphopantothenoylcysteine decarboxylase		CNAG_07348		J9VGI2_CRYNH			catalytic activity [GO:0003824]	catalytic activity [GO:0003824]	GO:0003824
J9VHB6	CNAG_04063		Selenoprotein W		CNAG_04063		J9VHB6_CRYNH					
J9VNB2	CNAG_06657		Uncharacterized protein		CNAG_06657		J9VNB2_CRYNH					
J9VXJ8	CNAG_03178		Uncharacterized protein		CNAG_03178		J9VXJ8_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]		GO:0016021
J9VHA0	CNAG_00628		YCII domain-containing protein		CNAG_00628		J9VHA0_CRYNH					
J9W2T4	CNAG_06208		Heat shock 70kDa protein 4		CNAG_06208		J9W2T4_CRYNH			ATP binding [GO:0005524]; ATPase activity [GO:0016887]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]	GO:0005524; GO:0016887
J9VIG4	CNAG_04977		Pre-mRNA branch site protein p14		CNAG_04977		J9VIG4_CRYNH	mRNA processing [GO:0006397]	nucleus [GO:0005634]	nucleus [GO:0005634]; RNA binding [GO:0003723]; mRNA processing [GO:0006397]	RNA binding [GO:0003723]	GO:0003723; GO:0005634; GO:0006397
J9VUY7	CNAG_04517		Uncharacterized protein		CNAG_04517		J9VUY7_CRYNH					
J9VM80	CNAG_02482		Translation machinery-associated protein 22		CNAG_02482		J9VM80_CRYNH		cytoplasm [GO:0005737]; ribosome [GO:0005840]	cytoplasm [GO:0005737]; ribosome [GO:0005840]; translation initiation factor activity [GO:0003743]	translation initiation factor activity [GO:0003743]	GO:0003743; GO:0005737; GO:0005840
J9W0R5	CNAG_06312		Uncharacterized protein		CNAG_06312		J9W0R5_CRYNH					
T2BMI8	CNAG_07983		Uncharacterized protein		CNAG_07983		T2BMI8_CRYNH					
J9VDX1	CNAG_00352		A1 cistron-splicing factor AAR2		CNAG_00352		J9VDX1_CRYNH					
J9VJX4	CNAG_02952		COX assembly mitochondrial protein		CNAG_02952		J9VJX4_CRYNH		mitochondrial inner membrane [GO:0005743]	mitochondrial inner membrane [GO:0005743]		GO:0005743
J9VFW8	CNAG_00847		Uncharacterized protein		CNAG_00847		J9VFW8_CRYNH					
J9VMI0	CNAG_02127		Cyclin-dependent protein kinase regulator		CNAG_02127		J9VMI0_CRYNH	regulation of transcription by RNA polymerase II [GO:0006357]		cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; kinase activity [GO:0016301]; regulation of transcription by RNA polymerase II [GO:0006357]	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; kinase activity [GO:0016301]	GO:0006357; GO:0016301; GO:0016538
J9VR20	CNAG_03493		Putative phospholipase (EC 3.1.1.47)		CNAG_03493		J9VR20_CRYNH	lipid catabolic process [GO:0016042]		1-alkyl-2-acetylglycerophosphocholine esterase activity [GO:0003847]; lipid catabolic process [GO:0016042]	1-alkyl-2-acetylglycerophosphocholine esterase activity [GO:0003847]	GO:0003847; GO:0016042
J9VW67	CNAG_07917		Uracil transporter FurD		CNAG_07917		J9VW67_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857
J9VU15	CNAG_01558		Chlorophyll synthesis pathway protein BchC		CNAG_01558		J9VU15_CRYNH			oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]	oxidoreductase activity [GO:0016491]; zinc ion binding [GO:0008270]	GO:0008270; GO:0016491
J9VUG2	CNAG_04310		Uncharacterized protein		CNAG_04310		J9VUG2_CRYNH			ATP binding [GO:0005524]	ATP binding [GO:0005524]	GO:0005524
J9VMY9	CNAG_06557		Membrane protein		CNAG_06557		J9VMY9_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857
J9VMW6	CNAG_02227		Uncharacterized protein		CNAG_02227		J9VMW6_CRYNH					
J9VVU7	FDC1 CNAG_03519		Ferulic acid decarboxylase 1 (EC 4.1.1.102) (Phenacrylate decarboxylase)	FDC1	CNAG_03519		J9VVU7_CRYNH	cinnamic acid catabolic process [GO:0046281]; ferulate metabolic process [GO:0033494]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; carboxy-lyase activity [GO:0016831]; metal ion binding [GO:0046872]; cinnamic acid catabolic process [GO:0046281]; ferulate metabolic process [GO:0033494]	carboxy-lyase activity [GO:0016831]; metal ion binding [GO:0046872]	GO:0005737; GO:0016831; GO:0033494; GO:0046281; GO:0046872
J9VRW2	CNAG_04258		Arf/Sar family protein		CNAG_04258		J9VRW2_CRYNH			GTP binding [GO:0005525]	GTP binding [GO:0005525]	GO:0005525
J9VIT1	CNAG_05092		Uncharacterized protein		CNAG_05092		J9VIT1_CRYNH					
J9VUM2	CNAG_01978		Prenyl protein peptidase		CNAG_01978		J9VUM2_CRYNH	CAAX-box protein processing [GO:0071586]	integral component of endoplasmic reticulum membrane [GO:0030176]	integral component of endoplasmic reticulum membrane [GO:0030176]; metalloendopeptidase activity [GO:0004222]; CAAX-box protein processing [GO:0071586]	metalloendopeptidase activity [GO:0004222]	GO:0004222; GO:0030176; GO:0071586
J9VXR9	CNAG_06956		Uncharacterized protein		CNAG_06956		J9VXR9_CRYNH					
J9VGG8	CNAG_03738		Pantetheine-phosphate adenylyltransferase		CNAG_03738		J9VGG8_CRYNH	biosynthetic process [GO:0009058]		nucleotidyltransferase activity [GO:0016779]; biosynthetic process [GO:0009058]	nucleotidyltransferase activity [GO:0016779]	GO:0009058; GO:0016779
T2BQI9	CNAG_07955		DDE Tnp4 domain-containing protein		CNAG_07955		T2BQI9_CRYNH			metal ion binding [GO:0046872]	metal ion binding [GO:0046872]	GO:0046872
J9VQ58	CNAG_02286		Cytoplasmic protein		CNAG_02286		J9VQ58_CRYNH					
J9VTM7	CNAG_06659		Beta-hexosaminidase (EC 3.2.1.52)		CNAG_06659		J9VTM7_CRYNH	carbohydrate metabolic process [GO:0005975]		beta-N-acetylhexosaminidase activity [GO:0004563]; N-acetyl-beta-D-galactosaminidase activity [GO:0102148]; carbohydrate metabolic process [GO:0005975]	beta-N-acetylhexosaminidase activity [GO:0004563]; N-acetyl-beta-D-galactosaminidase activity [GO:0102148]	GO:0004563; GO:0005975; GO:0102148
J9VMI4	NCS6 CTU1 CNAG_02122	CTU1	Cytoplasmic tRNA 2-thiolation protein 1 (EC 2.7.7.-) (Cytoplasmic tRNA adenylyltransferase 1)	NCS6	CNAG_02122		J9VMI4_CRYNH	protein urmylation [GO:0032447]; tRNA thio-modification [GO:0034227]; tRNA wobble uridine modification [GO:0002098]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; nucleotidyltransferase activity [GO:0016779]; tRNA binding [GO:0000049]; protein urmylation [GO:0032447]; tRNA thio-modification [GO:0034227]; tRNA wobble uridine modification [GO:0002098]	nucleotidyltransferase activity [GO:0016779]; tRNA binding [GO:0000049]	GO:0000049; GO:0002098; GO:0005737; GO:0016779; GO:0032447; GO:0034227
J9VWC3	CNAG_04154		Uncharacterized protein		CNAG_04154		J9VWC3_CRYNH					
J9W045	CNAG_04840		Small nuclear ribonucleoprotein B and B		CNAG_04840		J9W045_CRYNH	rRNA processing [GO:0006364]		rRNA processing [GO:0006364]		GO:0006364
J9VWR9	CNAG_04328		Ubiquitin-conjugating enzyme E2 I		CNAG_04328		J9VWR9_CRYNH			ATP binding [GO:0005524]; SUMO transferase activity [GO:0019789]	ATP binding [GO:0005524]; SUMO transferase activity [GO:0019789]	GO:0005524; GO:0019789
J9VG91	CNAG_00232		Large subunit ribosomal protein L30e		CNAG_00232		J9VG91_CRYNH		ribosome [GO:0005840]	ribosome [GO:0005840]; RNA binding [GO:0003723]	RNA binding [GO:0003723]	GO:0003723; GO:0005840
J9VQW2	CNAG_07731		Uncharacterized protein		CNAG_07731		J9VQW2_CRYNH					
J9VJQ9	CNAG_05183		Peptidase_M48 domain-containing protein		CNAG_05183		J9VJQ9_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]	GO:0004222; GO:0016021; GO:0046872
J9VXT8	CNAG_04807		Zn(2)-C6 fungal-type domain-containing protein		CNAG_04807		J9VXT8_CRYNH			DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]	GO:0000981; GO:0008270
J9VMS9	CNAG_07650		Uncharacterized protein		CNAG_07650		J9VMS9_CRYNH					
J9W0L7	CNAG_06260		Alpha-glucosidase		CNAG_06260		J9W0L7_CRYNH	carbohydrate metabolic process [GO:0005975]		catalytic activity [GO:0003824]; carbohydrate metabolic process [GO:0005975]	catalytic activity [GO:0003824]	GO:0003824; GO:0005975
J9VQM6	CNAG_03558		Uncharacterized protein		CNAG_03558		J9VQM6_CRYNH					
J9VQ85	CNAG_03413		Alginate lyase		CNAG_03413		J9VQ85_CRYNH			lyase activity [GO:0016829]	lyase activity [GO:0016829]	GO:0016829
J9VR89	CNAG_07662		Uncharacterized protein		CNAG_07662		J9VR89_CRYNH					
J9VUS0	CNAG_03134		3-hydroxybutyryl-CoA dehydrogenase		CNAG_03134		J9VUS0_CRYNH	fatty acid metabolic process [GO:0006631]		NAD+ binding [GO:0070403]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; fatty acid metabolic process [GO:0006631]	NAD+ binding [GO:0070403]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]	GO:0006631; GO:0016616; GO:0070403
J9VSA8	CNAG_07767		Uncharacterized protein		CNAG_07767		J9VSA8_CRYNH					
J9VKT9	CNAG_01059		Vacuolar membrane protein		CNAG_01059		J9VKT9_CRYNH		integral component of membrane [GO:0016021]	integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857]	transmembrane transporter activity [GO:0022857]	GO:0016021; GO:0022857
J9VSU1	CNAG_04711		Uncharacterized protein		CNAG_04711		J9VSU1_CRYNH					
J9VNU3	CNAG_05828		UDP-N-acetylglucosamine pyrophosphorylase		CNAG_05828		J9VNU3_CRYNH			uridylyltransferase activity [GO:0070569]	uridylyltransferase activity [GO:0070569]	GO:0070569
J9VID7	CNAG_04946		DAO domain-containing protein		CNAG_04946		J9VID7_CRYNH			oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]	GO:0016491
J9VQ10	LSM4 CNAG_02901		U6 snRNA-associated Sm-like protein LSm4	LSM4	CNAG_02901		J9VQ10_CRYNH	mRNA splicing, via spliceosome [GO:0000398]; nuclear-transcribed mRNA catabolic process [GO:0000956]; rRNA processing [GO:0006364]	spliceosomal complex [GO:0005681]	spliceosomal complex [GO:0005681]; RNA binding [GO:0003723]; mRNA splicing, via spliceosome [GO:0000398]; nuclear-transcribed mRNA catabolic process [GO:0000956]; rRNA processing [GO:0006364]	RNA binding [GO:0003723]	GO:0000398; GO:0000956; GO:0003723; GO:0005681; GO:0006364
